DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;TIPO;FECHA_SOLICITUD;RAZON_SOCIAL;NUMERO_RESOLUCION;FECHA_EMISION;FECHA_VENCIMIENTO;PLACA;ANO_FABRICACION;PESO_BRUTO;NUMERO_TUC_MTC;TIPO_CARGA;FECHA_CORTE
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250821;DISTRIMAX S.A.C.;2954-2025;20250825;20300825;AFA772;2014;2.155;15M25043298E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA JURIDICA;20250821;DISTRIMAX S.A.C.;2954-2025;20250825;20300825;BEL758;2020;6.5;15M25043300E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;BAE841;�2017;5.5;�15M23019281E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;BAE810;�2017;5.5;�15M23034753E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;BAF826;�2017;5.5;�15M23034220E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;AWF885;�2017;5.5;�15M21005773E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;AWG704;�2017;5.5;�15M21005772E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;AYO918;�2017;5.5;�151907011;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;AYL734;�2017;5.5;�151907012;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;AYT851;�2017;5.5;�151907146;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;AVI793;�2017;26;�15M22000224E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;AYT740;�2017;17.1;�15M21038769E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;F9D839;�2013;27.155;�15M21011123E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;BEC752;�2019;28;�15M23030056E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;BHW845;2021;26.6;�15M24006082E;CARGA GENERAL;20250930
LIMA;LIMA;LIMA;150101;PERSONA NATURAL;20250822;FELIX ISAAC SAN JUAN BRAVO ;2967-2025;20250911;20300911;BUK942;2023;26.7;�15M23019049E;CARGA GENERAL;20250930
